lat="37.6029031011089" lon="126.99203679975078"
lat="37.60271266886732" lon="126.99215663531047"
lat="37.60252497377319" lon="126.99228071412269"
lat="37.60231429829094" lon="126.99235971311748"
lat="37.60209207337431" lon="126.99239494217403"
lat="37.601867192063615" lon="126.99238763491043"
lat="37.60164433942849" lon="126.99235662357353"
lat="37.60142041442982" lon="126.99233465552928"
lat="37.60119581907034" lon="126.9923211675901"
lat="37.600970837243175" lon="126.99232402721351"
lat="37.60075398434019" lon="126.99238402570072"
lat="37.60053837653059" lon="126.99244835510642"
lat="37.600345065504996" lon="126.99256348914737"
lat="37.60013516332778" lon="126.99264452047464"
lat="37.599913235290714" lon="126.99268157376554"
lat="37.59968973676078" lon="126.9926556236766"
lat="37.59946644784905" lon="126.99268331955899"
lat="37.59924190752512" lon="126.99269769463913"
lat="37.59902010281865" lon="126.99273547918872"
lat="37.598806074310374" lon="126.99280488234173"
lat="37.59860123460824" lon="126.9928979720642"
lat="37.59843289971852" lon="126.99304726494715"
lat="37.598321566883676" lon="126.99324278988134"
lat="37.59818557332995" lon="126.99342204041368"
lat="37.59801290686065" lon="126.99356630160175"
lat="37.59780915513235" lon="126.99366174914343"
lat="37.5975924882302" lon="126.99372241588483"
lat="37.59738724366623" lon="126.9938146095341"
lat="37.59717228273974" lon="126.99388106854464"
lat="37.59694810986784" lon="126.99390034348956"
lat="37.59672431070442" lon="126.99387712852773"
lat="37.59650532991924" lon="126.99382543311475"
lat="37.59628107757493" lon="126.99384376030964"
lat="37.59605608387099" lon="126.99384544351696"
lat="37.59584106003152" lon="126.9939116986938"
lat="37.5956610087748" lon="126.99404663032445"
lat="37.595464039397925" lon="126.99415538723031"
lat="37.595294592878965" lon="126.99430341721785"
lat="37.59510686671423" lon="126.9944274490165"
lat="37.59489296139704" lon="126.99449723092874"
lat="37.59469136715499" lon="126.99459715470753"
lat="37.59448165676793" lon="126.99467868110548"
lat="37.59428000120606" lon="126.99477848107726"
lat="37.59406854479018" lon="126.99485536530311"
lat="37.59389116621155" lon="126.99499379160062"
lat="37.593682380220535" lon="126.99507765702829"
lat="37.593500512058306" lon="126.99521012955967"
lat="37.59334614292999" lon="126.99537382186926"
lat="37.593198248442086" lon="126.99554338666645"
lat="37.59302939184095" lon="126.99569208921604"
lat="37.59285078676757" lon="126.99582892937009"
lat="37.592644618503634" lon="126.99591903845368"
lat="37.59242018232252" lon="126.99593495701538"
lat="37.59219833984041" lon="126.99589739489176"
lat="37.59197418788585" lon="126.9958778781997"
lat="37.591751906788375" lon="126.99584300537786"
lat="37.591530342444955" lon="126.99580383598004"
lat="37.591308333196274" lon="126.99576727242577"
lat="37.59108345407984" lon="126.99575989794327"
lat="37.590864597701206" lon="126.99581211753281"
